,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
10,U001,0200803720,DEC corp,2020-05-13 13:07:06.250000000,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,97.02,31-45
11,U001,0200794332,COST co,2020-04-14 11:10:13.250000000,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,22900.828999999998,16-30
12,U001,0200020431,DEC us,2020-06-19 06:59:19.750000000,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,122.30399999999999,16-30
13,U001,0200769623,WAL-MAR associates,2020-04-09 04:27:33.500000000,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,537.4459999999999,0-15
14,CA02,140105785,SHOPPE foundation,2020-04-12 13:34:59.437500000,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2829.6,0-15
15,U001,0200769623,WAL-MAR ,2020-04-02 21:10:01.250000000,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,10160.276,16-30
16,U001,0200769623,WAL-MAR foundation,2020-05-13 13:50:25.875000000,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,38780.217,16-30
17,U001,0200772670,ASSOCIAT corporation,2020-05-05 17:25:03.000000000,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,122336.45199999998,0-15
18,U001,0200900909,SYSCO systems,2020-04-28 19:28:47.500000000,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,22058.925,0-15
19,U001,0200769623,WAL-MAR systems,2020-05-03 04:16:39.250000000,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,13791.085,16-30
20,U001,0200726979,BJ'S  trust,2020-05-29 01:42:28.500000000,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,92.904,16-30
21,U001,0200769623,WAL-MAR llc,2020-04-18 22:34:01.843750000,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,784.8050000000001,0-15
22,U001,0200769623,WAL-MAR llc,2020-05-06 04:25:38.500000000,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,7976.388,16-30
23,CA02,0140105847,GORDON F co,2020-04-30 21:24:16.125000000,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,3685.2,0-15
24,U001,0200744019,TARG foundation,2020-04-15 17:50:49.250000000,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,36486.31,16-30
25,U001,0200769623,WAL-MAR systems,2020-04-13 21:10:01.250000000,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,10495.806999999999,16-30
26,U001,0200769623,WAL-MAR llc,2020-05-05 18:57:10.000000000,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,25.242,46-60
27,U001,0200418007,AM in,2020-05-06 02:58:32.125000000,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,18085.333,16-30
28,U001,0200739006,AL foundation,2020-05-04 02:33:01.500000000,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,3016.335,0-15
29,U001,0100031704,DELHAIZE associates,2020-05-16 01:07:49.625000000,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,49126.749,16-30
30,U001,0200769623,WAL-MAR trust,2020-04-25 13:28:38.875000000,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,2382.66,0-15
31,U001,0200744019,TARG systems,2020-05-29 17:49:28.625000000,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,7465.871,16-30
32,U001,0200769623,WAL-MAR ,2020-04-16 00:57:56.812500000,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,5096.357,0-15
33,U001,0200726979,BJ'S  corporation,2020-04-07 19:47:03.000000000,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,9577.19,16-30
34,U001,0200706844,WINC associates,2020-05-06 17:49:29.625000000,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,23763.495,0-15
35,U001,0200793830,M llc,2020-05-08 22:55:56.625000000,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,3175.998,16-30
36,U001,0200769623,WAL-MAR foundation,2020-05-10 21:10:01.250000000,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,10049.171999999999,16-30
37,U001,0200769623,WAL-MAR systems,2020-05-15 04:13:11.750000000,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,257.397,16-30
38,U001,0200769623,WAL-MAR trust,2020-06-08 13:50:25.875000000,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,39399.33899999999,16-30
39,U001,0200769623,WAL-MAR systems,2020-04-02 05:15:49.500000000,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,35345.702,16-30
40,U001,0200769623,WAL-MAR llc,2020-05-24 19:08:01.500000000,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,10842.600999999999,16-30
41,CA02,0140104423,METRO  llc,2020-03-17 02:59:12.937500000,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,133113.36,0-15
42,U001,0200726979,BJ'S  systems,2020-05-23 19:43:22.875000000,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,252.23099999999997,16-30
43,U001,0200743996,STATER  llc,2020-06-02 22:02:36.625000000,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,2678.221,0-15
44,U001,0200752302,KROGER trust,2020-05-04 23:10:27.875000000,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,67671.83499999999,16-30
45,CA02,140105686,SYSC llc,2020-05-22 21:02:45.562500000,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,61757.57,0-15
46,U001,0200711029,WEGMAN corp,2020-05-07 06:43:06.500000000,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,10067.553999999998,16-30
47,CA02,CCU001,KRAFT  corporation,2020-05-18 19:58:51.500000000,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,25468.67,16-30
48,U001,0200769623,WAL-MAR llc,2020-05-21 18:21:22.250000000,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,24856.964999999997,16-30
49,U001,0200769623,WAL-MAR associates,2020-05-05 19:58:29.000000000,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,9458.827,16-30
50,U001,0200772670,ASSOCIAT corp,2020-04-21 23:03:25.000000000,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,17094.931,0-15
51,U001,0200769623,WAL-MAR co,2020-05-17 21:34:41.875000000,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,7852.130999999999,0-15
52,U001,0200769623,WAL-MAR systems,2020-05-12 08:55:12.000000000,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,8787.891,0-15
53,U001,0200720238,WOODM co,2020-06-03 22:03:51.125000000,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,88843.321,0-15
54,CA02,140106408,WAL-M in,2020-05-10 14:31:26.687500000,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,40768.12,0-15
55,U001,0200769623,WAL-MAR co,2020-05-01 03:43:47.875000000,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,17384.43,16-30
56,U001,0200769623,WAL-MAR us,2020-04-17 05:15:49.500000000,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,35141.981,16-30
57,U001,0200769623,WAL-MAR us,2020-04-29 09:20:18.625000000,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,5809.79,0-15
58,U001,0200799367,MCL corporation,2020-04-22 01:20:20.375000000,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,36121.490999999995,0-15
59,U001,0200759878,SA co,2020-05-22 02:04:31.125000000,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,13230.693000000001,16-30
60,U001,0200794332,COST corp,2020-04-17 03:40:56.500000000,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,34627.38999999999,16-30
61,U001,0200515231,US  us,2020-05-14 16:07:24.125000000,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,7131.361999999999,16-30
62,U001,0200782669,SYGMA corp,2020-05-03 09:12:05.000000000,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,166.18,31-45
63,U001,200769623,WAL-MAR foundation,2020-06-11 04:25:38.500000000,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,8072.987999999999,16-30
64,U001,0200769623,WAL-MAR ,2020-04-26 13:55:48.500000000,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,14012.543999999998,16-30
65,U001,0200331749,SYSC foundation,2020-04-02 05:26:05.625000000,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,3724.595,16-30
66,U001,0200772670,ASSOCIAT associates,2020-05-24 00:46:41.000000000,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,21630.581,16-30
67,U001,0200772670,ASSOCIAT us,2020-05-07 11:30:07.625000000,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,46090.28199999999,16-30
68,U001,0200706844,WINC foundation,2020-04-09 17:23:01.000000000,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,251.60799999999998,16-30
69,U001,0100043975,JAVA ,2020-04-29 16:11:06.437500000,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,999.1519999999998,0-15
70,U001,0200762301,C&S WH in,2020-04-04 16:44:16.750000000,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,69364.197,16-30
71,U001,0200148860,DOLLA associates,2020-06-25 11:21:06.625000000,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,4580.407999999999,16-30
72,CA02,0100027744,OMEGA AD in,2020-06-08 09:35:12.250000000,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,7035.0,16-30
73,U001,0100031704,DELHAIZE co,2020-04-01 21:21:05.375000000,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,74475.92599999999,16-30
74,U001,0200799420,HT HA foundation,2020-04-24 01:03:35.000000000,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,560.77,16-30
75,U001,0200974851,RESTA systems,2020-04-24 22:46:34.250000000,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,2496.683,0-15
76,U001,0200769623,WAL-MAR in,2020-05-27 05:58:41.625000000,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,6219.898999999999,0-15
77,U001,0200793568,SUPE llc,2020-04-11 19:05:01.250000000,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,11125.288999999999,16-30
78,U001,0200759878,SA foundation,2020-04-06 20:58:18.625000000,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,49126.56,16-30
79,U001,0200712187,SPAR in,2020-05-16 23:24:04.125000000,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,83569.052,0-15
80,U001,0100047532,KEYSTON associates,2020-04-05 19:05:04.875000000,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,8296.778,16-30
81,U001,0200794332,COST co,2020-04-06 20:33:53.750000000,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,7857.794,16-30
82,U001,0200148860,DOLLA associates,2020-06-18 04:48:25.625000000,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,3819.725,16-30
83,U001,200794332,COST llc,2020-06-15 06:33:58.000000000,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,57050.602,16-30
84,U001,0200555117,BURR trust,2020-04-24 11:29:37.250000000,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,524.3979999999999,0-15
85,U001,200769623,WAL-MAR in,2020-06-05 15:30:59.250000000,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,1553.9229999999998,0-15
86,U001,0200772670,ASSOCIAT corp,2020-04-24 02:47:23.500000000,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,10842.846,16-30
87,U001,200707822,PUBLI corporation,2020-06-10 09:26:27.875000000,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,88275.537,16-30
88,CA02,0140104392,FLANAG us,2020-04-02 23:24:34.375000000,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,3612.39,0-15
89,U001,0200769623,WAL-MAR corp,2020-05-28 04:25:38.500000000,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8081.765999999999,16-30
90,U001,0200759878,SA systems,2020-05-02 05:31:48.125000000,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,33352.598999999995,16-30
91,U001,0200705742,DOT foundation,2020-03-28 05:58:42.875000000,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,4152.757,0-15
92,U001,200793568,SUPE trust,2020-04-19 14:58:53.750000000,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1145.032,0-15
93,U001,0200726979,BJ'S  ,2020-04-07 22:29:49.250000000,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,900.4099999999999,0-15
94,U001,0200704858,WAKE corp,2020-05-09 10:43:04.875000000,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,69697.894,16-30
95,U001,0200780383,MEIJ in,2020-04-19 01:06:56.375000000,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,2528.841,16-30
96,U001,0200762301,C&S WH associates,2020-05-13 21:05:52.625000000,2020.0,1930778021.0,2020-04-12 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-04-12 00:00:00.000000000,NAC6,71593.22799999999,16-30
97,CA02,0140106271,LONGO  in,2020-04-29 10:55:55.250000000,2020.0,2960626604.0,2020-04-03 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-07 00:00:00.000000000,CA10,12307.79,0-15
98,CA02,0140104423,METRO  us,2020-05-06 01:18:12.906250000,2020.0,2960628851.0,2020-04-17 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-21 00:00:00.000000000,CA10,64370.78,0-15
99,U001,0200741174,M B  co,2020-04-10 06:03:21.875000000,2020.0,1930657267.0,2020-03-16 00:00:00.000000000,2020-03-31 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAA8,4037.4809999999998,0-15
100,CA02,0100030194,AMAZO llc,2020-04-24 22:47:14.500000000,2020.0,2960622411.0,2020-03-18 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-20 00:00:00.000000000,CA10,14073.81,16-30
101,U001,0200769623,WAL-MAR trust,2020-04-30 20:23:22.000000000,2020.0,1930720012.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,29665.880999999998,16-30
102,U001,0200592182,DECA in,2020-05-21 10:49:02.750000000,2020.0,1930822583.0,2020-04-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM4,1233.2879999999998,0-15
103,U001,0200743996,STATER  co,2020-04-20 17:44:15.500000000,2020.0,1930686889.0,2020-03-22 00:00:00.000000000,2020-04-06 00:00:00.000000000,2020-03-22 00:00:00.000000000,NAA8,66228.421,0-15
104,U001,0200769623,WAL-MAR in,2020-05-21 08:45:35.500000000,2020.0,1930787980.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAH4,15558.444999999998,16-30
105,U001,0200749782,KROG associates,2020-05-25 22:03:20.250000000,2020.0,1930822131.0,2020-04-25 00:00:00.000000000,2020-05-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,NAA8,61951.40699999999,16-30
106,U001,0200744019,TARG corp,2020-05-30 19:13:54.875000000,2020.0,1930641073.0,2020-03-13 00:00:00.000000000,2020-05-17 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAGD,1387.4419999999998,0-15
107,U001,0200769623,WAL-MAR foundation,2020-05-20 00:25:16.250000000,2020.0,1930804577.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,1628.2559999999999,0-15
108,U001,0200705742,DOT us,2020-04-01 16:55:08.875000000,2020.0,1930592413.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,6875.665999999999,16-30
109,U001,0200744019,TARG trust,2020-06-05 13:08:55.875000000,2020.0,1930857489.0,2020-05-05 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,NAA8,20714.693999999996,16-30
110,U001,0200772670,ASSOCIAT associates,2020-05-07 07:55:56.250000000,2020.0,1930739252.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAU5,33532.632,16-30
111,U001,0200769623,WAL-MAR corporation,2020-04-18 22:39:28.500000000,2020.0,1930692953.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,1329.23,0-15
112,U001,0200900909,SYSCO in,2020-05-03 01:43:11.500000000,2020.0,1930741081.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,5266.919,16-30
113,U001,0200424504,M  in,2020-04-26 20:50:47.687500000,2020.0,1930830032.0,2020-04-28 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-04-15 00:00:00.000000000,NACG,1699.628,0-15
114,U001,0100031704,DELHAIZE trust,2020-06-26 08:07:45.187500000,2020.0,1930794735.0,2020-04-16 00:00:00.000000000,2020-06-20 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAGD,823.6129999999999,0-15
115,U001,0200764795,SYSCO  us,2020-05-04 11:23:20.000000000,2020.0,1930637455.0,2020-03-18 00:00:00.000000000,2020-04-19 00:00:00.000000000,2020-03-18 00:00:00.000000000,NA32,7684.956999999999,16-30
116,U001,0200337148,COAS systems,2020-04-01 12:47:27.125000000,2020.0,1930587342.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,31589.452999999998,16-30
117,U001,0200416837,DEC llc,2020-04-11 12:32:34.750000000,2020.0,1930599382.0,2020-03-04 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAM4,278.712,16-30
118,U001,0200769623,WAL-MAR llc,2020-04-14 16:34:46.000000000,2020.0,1930623646.0,2020-03-09 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-09 00:00:00.000000000,NAH4,41108.346999999994,16-30
119,U001,0200726979,BJ'S  associates,2020-04-16 09:27:28.000000000,2020.0,1930645815.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,411.943,16-30
120,U001,0200721222,GO us,2020-05-18 18:49:16.875000000,2020.0,1930800642.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,17979.549,0-15
121,U001,0200772595,SAFEW corporation,2020-05-02 04:10:07.625000000,2020.0,1930729101.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,7014.097999999999,16-30
